"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","09/09/2012","21:02:18","","You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ') AS contentTeaser
FROM entries
WHERE 
entries.deletedAt IS NULL
ORDER BY en' at line 1"
"ERROR","web-0","09/09/2012","21:06:52","","execute command denied to user 'railo'@'localhost' for routine 'cvazquezblog.StripHTML'"
"ERROR","web-0","09/09/2012","21:07:49","","execute command denied to user 'railo'@'localhost' for routine 'cvazquezblog.StripHTML'"
"ERROR","web-0","09/09/2012","21:12:50","","Invalid identifier"
"ERROR","web-0","09/10/2012","17:57:22","","Page /views/blog/_lastblogs.cfm [/export/home/railo.carlosvazquez.org/docs/views/blog/_lastblogs.cfm] not found"
"ERROR","web-0","09/10/2012","22:01:44","","Invalid Syntax Closing [)] for function [findAll] not found"
"ERROR","web-0","09/10/2012","22:06:52","","Invalid Syntax Closing [)] for function [findAll] not found"
"ERROR","web-0","09/10/2012","22:07:01","","Unknown column 'entrydiscussion.id' in 'field list'"
"ERROR","web-0","09/11/2012","07:19:38","","key [entrydiscussionid] doesn't exist in struct (keys:stateId,passwd,deletedAt,handle,lastName,firstName,createdBy,createdAt,updatedAt,cityId,city,id,updatedBy,email,websiteURL,timestampAt,deletedBy)"
"ERROR","web-0","09/11/2012","07:20:18","","key [entrydiscussionid] doesn't exist in struct (keys:stateId,passwd,deletedAt,handle,lastName,firstName,createdBy,createdAt,updatedAt,cityId,city,id,updatedBy,email,websiteURL,timestampAt,deletedBy)"
"ERROR","web-0","09/11/2012","07:20:22","","key [entrydiscussionid] doesn't exist in struct (keys:stateId,passwd,deletedAt,handle,lastName,firstName,createdBy,createdAt,updatedAt,cityId,city,id,updatedBy,email,websiteURL,timestampAt,deletedBy)"
"ERROR","web-0","09/11/2012","07:21:43","","key [entrydiscussionid] doesn't exist in struct (keys:stateId,passwd,deletedAt,handle,lastName,firstName,createdBy,createdAt,updatedAt,cityId,city,id,updatedBy,email,websiteURL,timestampAt,deletedBy)"
"ERROR","web-0","09/12/2012","21:46:40","","key [entrydiscussionid] doesn't exist in struct (keys:stateId,passwd,deletedAt,handle,lastName,firstName,createdBy,createdAt,updatedAt,cityId,city,id,updatedBy,email,websiteURL,timestampAt,deletedBy)"
"ERROR","web-0","09/12/2012","21:47:58","","key [entrydiscussionid] doesn't exist in struct (keys:stateId,passwd,deletedAt,handle,lastName,firstName,createdBy,createdAt,updatedAt,cityId,city,id,updatedBy,email,websiteURL,timestampAt,deletedBy)"
"ERROR","web-0","09/12/2012","21:48:32","","key [entrydiscussionid] doesn't exist in struct (keys:stateId,passwd,deletedAt,handle,lastName,firstName,createdBy,createdAt,updatedAt,cityId,city,id,updatedBy,email,websiteURL,timestampAt,deletedBy)"
"ERROR","web-0","09/12/2012","21:55:54","","key [entrydiscussionid] doesn't exist in struct (keys:stateId,passwd,deletedAt,handle,lastName,firstName,createdBy,createdAt,updatedAt,cityId,city,id,updatedBy,email,websiteURL,timestampAt,deletedBy)"
"ERROR","web-0","09/12/2012","22:17:53","","key [entrydiscussionid] doesn't exist in struct (keys:stateId,passwd,deletedAt,handle,lastName,firstName,createdBy,createdAt,updatedAt,cityId,city,id,updatedBy,email,websiteURL,timestampAt,deletedBy)"
"ERROR","web-0","09/12/2012","22:18:43","","key [entrydiscussionid] doesn't exist in struct (keys:stateId,passwd,deletedAt,handle,lastName,firstName,createdBy,createdAt,updatedAt,cityId,city,id,updatedBy,email,websiteURL,timestampAt,deletedBy)"
