"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","01/02/2013","09:23:25","mail spooler","Could not connect to SMTP host: localhost, port: 25;
  nested exception is:
	java.net.ConnectException: Connection refused"
"ERROR","web-0","01/02/2013","09:23:25","mail spooler","Could not connect to SMTP host: localhost, port: 25;
  nested exception is:
	java.net.ConnectException: Connection refused"
"ERROR","web-0","01/02/2013","09:26:39","mail spooler","Could not connect to SMTP host: localhost, port: 25;
  nested exception is:
	java.net.ConnectException: Connection refused"
"ERROR","web-0","01/02/2013","09:27:03","mail spooler","Could not connect to SMTP host: localhost, port: 25;
  nested exception is:
	java.net.ConnectException: Connection refused"
"ERROR","web-0","01/02/2013","09:27:03","mail spooler","Could not connect to SMTP host: localhost, port: 25;
  nested exception is:
	java.net.ConnectException: Connection refused"
"ERROR","web-0","01/02/2013","09:28:25","mail spooler","Could not connect to SMTP host: localhost, port: 25;
  nested exception is:
	java.net.ConnectException: Connection refused"
"ERROR","web-0","01/02/2013","09:28:25","mail spooler","Could not connect to SMTP host: localhost, port: 25;
  nested exception is:
	java.net.ConnectException: Connection refused"
"ERROR","web-0","01/02/2013","09:29:36","mail spooler","Could not connect to SMTP host: localhost, port: 25;
  nested exception is:
	java.net.ConnectException: Connection refused"
"ERROR","web-0","01/02/2013","09:29:37","mail spooler","Could not connect to SMTP host: localhost, port: 25;
  nested exception is:
	java.net.ConnectException: Connection refused"
"ERROR","web-0","02/12/2013","21:38:24","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/12/2013","21:43:54","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/12/2013","21:45:01","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/12/2013","21:50:01","mail spooler","503 5.5.0 Sender already specified
"
"ERROR","web-0","02/12/2013","21:50:33","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/12/2013","21:51:09","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/12/2013","21:56:03","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/12/2013","21:56:39","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/12/2013","21:57:33","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/12/2013","21:59:23","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/12/2013","22:02:54","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/12/2013","22:04:53","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/12/2013","22:07:50","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/12/2013","22:08:20","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/12/2013","22:08:50","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/25/2013","21:55:41","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/25/2013","21:56:11","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","02/25/2013","22:01:11","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/17/2013","19:07:08","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/17/2013","19:12:38","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","07:59:20","mail spooler","501 5.0.0 HELO requires domain address
"
"ERROR","web-0","04/19/2013","07:59:50","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","08:00:00","mail spooler","501 5.0.0 HELO requires domain address
"
"ERROR","web-0","04/19/2013","08:01:01","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","08:01:31","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","08:02:01","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","08:04:50","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","08:05:20","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","08:05:50","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","08:06:31","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","08:07:01","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","08:07:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:05:00","mail spooler","501 5.0.0 HELO requires domain address
"
"ERROR","web-0","04/19/2013","09:05:50","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:06:20","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:07:01","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:07:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:08:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:13:51","mail spooler","501 5.0.0 HELO requires domain address
"
"ERROR","web-0","04/19/2013","09:14:21","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:14:31","mail spooler","501 5.0.0 HELO requires domain address
"
"ERROR","web-0","04/19/2013","09:15:01","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:15:31","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:16:01","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:16:31","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:17:01","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:17:31","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:18:01","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:18:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:19:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:19:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:20:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:20:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:21:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:21:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:22:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:22:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:23:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:23:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:24:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:24:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:25:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:25:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:26:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:26:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:27:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:27:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:28:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:38:12","mail spooler","501 5.0.0 HELO requires domain address
"
"ERROR","web-0","04/19/2013","09:38:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:38:52","mail spooler","501 5.0.0 HELO requires domain address
"
"ERROR","web-0","04/19/2013","09:39:22","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:39:52","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:40:22","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:40:52","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:41:22","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:41:52","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:43:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:44:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:44:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:45:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:45:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:46:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:46:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:47:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:47:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:48:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:48:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:49:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:49:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:50:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:50:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:51:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:51:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:52:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:52:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:53:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:53:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:54:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:54:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:55:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:55:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:56:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:56:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:57:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:57:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:58:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:59:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","09:59:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:00:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:00:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:01:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:21:02","mail spooler","501 5.0.0 HELO requires domain address
"
"ERROR","web-0","04/19/2013","10:22:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:22:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:23:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:23:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:24:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:24:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:24:32","mail spooler","501 5.0.0 HELO requires domain address
"
"ERROR","web-0","04/19/2013","10:25:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:26:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:26:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:27:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:27:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:28:02","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:28:32","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:43:52","mail spooler","501 5.0.0 HELO requires domain address
"
"ERROR","web-0","04/19/2013","10:44:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:48:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:48:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:48:52","mail spooler","501 5.0.0 HELO requires domain address
"
"ERROR","web-0","04/19/2013","10:49:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:50:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:50:42","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:51:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","10:52:12","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","20:53:16","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","20:53:38","mail spooler","Got bad greeting from SMTP host: localhost, port: 25, response: -1"
"ERROR","web-0","04/19/2013","20:53:53","mail spooler","501 5.0.0 HELO requires domain address
"
"ERROR","web-0","04/19/2013","20:54:23","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","20:54:28","mail spooler","501 5.0.0 HELO requires domain address
"
"ERROR","web-0","04/19/2013","20:54:58","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","20:55:28","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","20:55:58","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","04/19/2013","20:56:28","mail spooler","timeout occurred after 30 seconds while sending mail message"
